Date,Price,Open,High,Low,Vol.,Change %,Price_Lag1
2025-03-27,87228.2,86937.0,87751.4,85844.4,56490.0,0.36,86912.0
2025-03-28,84410.4,87209.5,87507.5,83596.7,85250.0,-3.23,87228.2
2025-03-29,82645.7,84412.1,84603.4,81668.2,39340.0,-2.09,84410.4
2025-03-30,82371.6,82646.8,83532.9,81593.2,35370.0,-0.33,82645.7
2025-03-31,82548.8,82375.4,83895.6,81300.1,61760.0,0.22,82371.6
2025-04-01,85164.2,82548.6,85506.2,82435.8,66720.0,3.17,82548.8
2025-04-02,82525.0,85166.0,88377.3,82358.9,104050.0,-3.1,85164.2
2025-04-03,83159.4,82522.6,83908.9,81313.8,83150.0,0.77,82525.0
2025-04-04,83866.7,83160.2,84704.1,81691.1,91540.0,0.85,83159.4
2025-04-05,83552.1,83876.0,84249.3,82384.4,32710.0,-0.38,83866.7
2025-04-06,78391.3,83528.0,83731.7,77171.1,79170.0,-6.18,83552.1
2025-04-07,79162.5,78406.6,81095.9,74524.2,170570.0,0.98,78391.3
2025-04-08,76312.5,79166.7,80839.8,76255.0,93880.0,-3.6,79162.5
2025-04-09,82607.0,76312.3,83566.7,74657.3,172180.0,8.25,76312.5
2025-04-10,79607.5,82606.8,82737.5,78495.8,92830.0,-3.63,82607.0
2025-04-11,83413.1,79606.1,84275.0,79004.2,94620.0,4.78,79607.5
2025-04-12,85292.7,83420.5,85893.5,82828.0,55600.0,2.25,83413.1
2025-04-13,83734.4,85282.5,85999.5,83049.6,70930.0,-1.83,85292.7
2025-04-14,84586.4,83752.8,85794.9,83705.2,78030.0,1.02,83734.4
2025-04-15,83647.0,84586.8,86438.8,83602.7,62450.0,-1.11,84586.4
2025-04-16,84032.2,83648.1,85438.2,83143.5,63970.0,0.46,83647.0
2025-04-17,84940.0,84032.2,85467.3,83786.2,49280.0,1.08,84032.2
2025-04-18,84474.6,84947.7,85106.1,84331.0,25830.0,-0.55,84940.0
2025-04-19,85068.1,84472.4,85604.3,84366.5,32070.0,0.7,84474.6
2025-04-20,85179.0,85075.5,85321.0,83976.1,32080.0,0.13,85068.1
